Sensor,Date,Variance,value
PS4-60,2021-07-31,Daily variance,0.05068909090909095
PS4-60,2021-08-01,Daily variance,0.055753787878787625
PS4-60,2021-08-02,Daily variance,0.07765681818181806
PS4-60,2021-08-03,Daily variance,0.09274772727272743
PS4-60,2021-08-04,Daily variance,0.10056969696969714
PS4-60,2021-08-05,Daily variance,0.09508787878787874
PS4-60,2021-08-06,Daily variance,0.08869753787878745
PS4-60,2021-08-07,Daily variance,0.04240606060606049
PS4-60,2021-08-08,Daily variance,0.015650000000000025
PS4-60,2021-08-09,Daily variance,0.06573560606060604
PS4-60,2021-08-10,Daily variance,0.06594545454545474
PS4-60,2021-08-11,Daily variance,0.11355636363636361
PS4-60,2021-08-12,Daily variance,1.9735477272727275
PS4-60,2021-08-13,Daily variance,0.14729924242424228
PS4-60,2021-08-14,Daily variance,0.1113511111111112
PS4-60,2021-08-15,Daily variance,0.10018727272727264
PS4-60,2021-08-16,Daily variance,0.03492424242424257
PS4-60,2021-08-17,Daily variance,6.494444444444445
PS4-60,2021-08-18,Daily variance,0.3072545454545447
PS4-60,2021-08-19,Daily variance,0.017429090909090998
PS4-60,2021-08-20,Daily variance,0.04869696969696962
PS4-60,2021-08-21,Daily variance,0.046833333333333255
PS4-60,2021-08-22,Daily variance,0.08755378787878788
PS4-60,2021-08-23,Daily variance,0.06622545454545495
PS4-60,2021-08-24,Daily variance,0.044896969696969796
PS4-60,2021-08-25,Daily variance,0.05888787878787866
PS4-60,2021-08-26,Daily variance,0.057601818181818164
PS4-60,2021-08-27,Daily variance,0.026293181818181875
PS4-60,2021-08-28,Daily variance,0.04965681818181846
PS4-60,2021-08-29,Daily variance,0.3875424242424242
PS4-60,2021-08-30,Daily variance,10.506716363636365
PS4-60,2021-08-31,Daily variance,0.16275378787878758
PS4-60,2021-09-01,Daily variance,0.03736969696969712
PS4-60,2021-09-02,Daily variance,0.002066666666666697
PS5-60,2021-06-23,Daily variance,0.9665989163614181
PS5-60,2021-06-24,Daily variance,0.6599141254025764
PS5-60,2021-06-25,Daily variance,0.39312533393719823
PS5-60,2021-06-26,Daily variance,0.42839447096417066
PS5-60,2021-06-27,Daily variance,0.2914756529287422
PS5-60,2021-06-28,Daily variance,0.2712643460144912
PS5-60,2021-06-29,Daily variance,0.3884707716888105
PS5-60,2021-06-30,Daily variance,0.4120969794182785
PS5-60,2021-07-01,Daily variance,0.492627021688809
PS5-60,2021-07-02,Daily variance,0.45375892587560274
PS5-60,2021-07-03,Daily variance,0.34692123107890305
PS5-60,2021-07-04,Daily variance,0.4311822149255228
PS5-60,2021-07-05,Daily variance,0.2128422101449278
PS5-60,2021-07-06,Daily variance,0.31225595813204643
PS5-60,2021-07-07,Daily variance,0.22020197262479987
PS5-60,2021-07-08,Daily variance,0.2699862268518529
PS5-60,2021-07-09,Daily variance,0.39012892386272
PS5-60,2021-07-10,Daily variance,0.28346159294484585
PS5-60,2021-07-11,Daily variance,0.04208463038446064
PS5-60,2021-07-12,Daily variance,0.14964661709943605
PS5-60,2021-07-13,Daily variance,0.1310336906199673
PS5-60,2021-07-14,Daily variance,0.2787742703301142
PS5-60,2021-07-15,Daily variance,0.3443982173409815
PS5-60,2021-07-16,Daily variance,0.3148494967793899
PS5-60,2021-07-17,Daily variance,0.24310189085144834
PS5-60,2021-07-18,Daily variance,0.21397318714774669
PS5-60,2021-07-19,Daily variance,0.21874515775966075
PS5-60,2021-07-20,Daily variance,0.20360965680354207
PS5-60,2021-07-21,Daily variance,0.17329715680354232
PS5-60,2021-07-22,Daily variance,0.219640801127214
PS5-60,2021-07-23,Daily variance,0.11287922202093316
PS5-60,2021-07-24,Daily variance,0.1234193840579722
PS5-60,2021-07-25,Daily variance,0.07916483494363924
PS5-60,2021-07-26,Daily variance,0.2649952140452152
PS5-60,2021-07-27,Daily variance,0.31025898626207704
PS5-60,2021-07-28,Daily variance,0.317115776117151
PS5-60,2021-07-29,Daily variance,0.22735849954710186
PS5-60,2021-07-30,Daily variance,0.09675814714170593
PS5-60,2021-07-31,Daily variance,0.0853270933977452
PS5-60,2021-08-01,Daily variance,0.13558909898349417
PS5-60,2021-08-02,Daily variance,0.2210357890499198
PS5-60,2021-08-03,Daily variance,0.2018368961352633
PS5-60,2021-08-04,Daily variance,0.19454490740740848
PS5-60,2021-08-05,Daily variance,0.23693447941827767
PS5-60,2021-08-06,Daily variance,0.17534667874396243
PS5-60,2021-08-07,Daily variance,0.10440747660024162
PS5-60,2021-08-08,Daily variance,0.119297909151034
PS5-60,2021-08-09,Daily variance,0.2012089258756043
PS5-60,2021-08-10,Daily variance,0.21393260366344521
PS5-60,2021-08-11,Daily variance,0.29847880308977337
PS5-60,2021-08-12,Daily variance,0.2737760869565239
PS5-60,2021-08-13,Daily variance,0.3062818425422707
PS5-60,2021-08-14,Daily variance,0.09579213229166667
PS5-60,2021-08-15,Daily variance,0.1385797750848602
PS5-60,2021-08-16,Daily variance,0.011160167824074021
PS5-60,2021-08-18,Daily variance,
PS5-60,2021-08-23,Daily variance,0.27333000000000146
PS5-60,2021-08-24,Daily variance,0.06875576923076927
PS5-60,2021-08-25,Daily variance,0.20683205389492598
PS5-60,2021-08-26,Daily variance,0.2571984702093384
PS5-60,2021-08-27,Daily variance,0.17156992250402633
PS5-60,2021-08-28,Daily variance,0.22435136876006467
PS5-60,2021-08-29,Daily variance,0.14136368760064347
PS5-60,2021-08-30,Daily variance,0.1593425611413059
PS5-60,2021-08-31,Daily variance,0.17183751509661702
PS5-60,2021-09-01,Daily variance,0.20542495471014485
PS5-60,2021-09-02,Daily variance,0.22094451992753605
PS5-60,2021-09-03,Daily variance,0.056026666666666475
PS6-60,2021-06-23,Daily variance,0.4279040909090914
PS6-60,2021-06-24,Daily variance,0.03329981884057975
PS6-60,2021-06-25,Daily variance,0.048373505434780646
PS6-60,2021-06-26,Daily variance,0.03167169384058096
PS6-60,2021-06-27,Daily variance,0.04541068840579829
PS6-60,2021-06-28,Daily variance,0.030379629629630762
PS6-60,2021-06-29,Daily variance,0.059711019273349826
PS6-60,2021-06-30,Daily variance,0.05834690016103016
PS6-60,2021-07-01,Daily variance,0.08871908086755488
PS6-60,2021-07-02,Daily variance,0.07744860607890365
PS6-60,2021-07-03,Daily variance,0.060145590529390704
PS6-60,2021-07-04,Daily variance,0.04391454810789051
PS6-60,2021-07-05,Daily variance,0.04289663722825991
PS6-60,2021-07-06,Daily variance,0.05001213642310828
PS6-60,2021-07-07,Daily variance,0.07154750402576363
PS6-60,2021-07-08,Daily variance,0.05174430354267354
PS6-60,2021-07-09,Daily variance,0.33014181637479834
PS6-60,2021-07-10,Daily variance,0.07257892386272052
PS6-60,2021-07-11,Daily variance,0.13048083735909674
PS6-60,2021-07-12,Daily variance,0.10586690821256095
PS6-60,2021-07-13,Daily variance,0.14734035326086856
PS6-60,2021-07-14,Daily variance,0.05806315292874197
PS6-60,2021-07-15,Daily variance,0.131981899154589
PS6-60,2021-07-16,Daily variance,0.17273260869565038
PS6-60,2021-07-17,Daily variance,0.3528845360305974
PS6-60,2021-07-18,Daily variance,0.9468456068840543
PS6-60,2021-07-19,Daily variance,0.9313850649350655
PS6-60,2021-07-20,Daily variance,1.1877640851449265
PS6-60,2021-07-21,Daily variance,1.6839426900584822
PS6-60,2021-07-22,Daily variance,0.35421428571428165
PS6-60,2021-07-23,Daily variance,2.027351992753621
PS6-60,2021-07-24,Daily variance,1.1943340579710133
PS6-60,2021-07-25,Daily variance,2.0482217391304296
PS6-60,2021-07-26,Daily variance,1.6443406349206353
PS6-60,2021-07-27,Daily variance,1.5235437084843
PS6-60,2021-07-28,Daily variance,2.7280298862721413
PS6-60,2021-07-29,Daily variance,1.6252369363929116
PS6-60,2021-07-30,Daily variance,2.016086367753628
PS6-60,2021-07-31,Daily variance,1.5395209339774525
PS6-60,2021-08-01,Daily variance,1.5096540861513694
PS6-60,2021-08-02,Daily variance,3.1917140499194847
PS6-60,2021-08-03,Daily variance,1.2214246930354273
PS6-60,2021-08-04,Daily variance,2.643648700432774
PS6-60,2021-08-05,Daily variance,1.8770017914653765
PS6-60,2021-08-06,Daily variance,2.916964280142914
PS6-60,2021-08-07,Daily variance,4.45569011171498
PS6-60,2021-08-08,Daily variance,3.6837714181286487
PS6-60,2021-08-09,Daily variance,11.024330007045094
PS6-60,2021-08-10,Daily variance,3.75791916903181
PS6-60,2021-08-11,Daily variance,13.33801181561997
PS6-60,2021-08-12,Daily variance,0.16671666666666743
PS6-60,2021-08-13,Daily variance,8.790431818181816
PS6-60,2021-08-14,Daily variance,2.3296722727272705
PS6-60,2021-08-15,Daily variance,1.6085125000000022
PS6-60,2021-08-16,Daily variance,4.197518432971014
PS6-60,2021-08-17,Daily variance,4.0095384057971
PS6-60,2021-08-18,Daily variance,0.5273009850543469
PS6-60,2021-08-19,Daily variance,5.678408952294686
PS6-60,2021-08-20,Daily variance,6.268982664049914
PS6-60,2021-08-21,Daily variance,2.2655526557467796
PS6-60,2021-08-22,Daily variance,7.150792571205718
PS6-60,2021-08-23,Daily variance,1.9877874383554817
PS6-60,2021-08-24,Daily variance,3.5917120760366434
PS6-60,2021-08-25,Daily variance,2.3497132233796294
PS6-60,2021-08-26,Daily variance,6.378813279991953
PS6-60,2021-08-27,Daily variance,2.560901166213765
PS6-60,2021-08-28,Daily variance,2.1879609098228645
PS6-60,2021-08-29,Daily variance,0.7585380422202088
PS6-60,2021-08-30,Daily variance,0.4281458622685166
PS6-60,2021-08-31,Daily variance,0.2067413798309178
PS6-60,2021-09-01,Daily variance,0.4615756327999227
PS6-60,2021-09-02,Daily variance,0.19090228965378434
PS6-60,2021-09-03,Daily variance,0.0589269841269847
PS7-60,2021-07-08,Daily variance,0.271310576923079
PS7-60,2021-07-09,Daily variance,0.1132119112318842
PS7-60,2021-07-10,Daily variance,0.030276041666668183
PS7-60,2021-07-11,Daily variance,0.027548470209339555
PS7-60,2021-07-12,Daily variance,0.055847780797101676
PS7-60,2021-07-13,Daily variance,0.15181968599033796
PS7-60,2021-07-14,Daily variance,0.13605271613325137
PS7-60,2021-07-15,Daily variance,0.09227167371175547
PS7-60,2021-07-16,Daily variance,0.1243302938808376
PS7-60,2021-07-17,Daily variance,0.11351110607890562
PS7-60,2021-07-18,Daily variance,0.28754917346014436
PS7-60,2021-07-19,Daily variance,0.31207842190016066
PS7-60,2021-07-20,Daily variance,0.3352164804750397
PS7-60,2021-07-21,Daily variance,0.3759030948067643
PS7-60,2021-07-22,Daily variance,0.26323572866344785
PS7-60,2021-07-23,Daily variance,0.25602948369565304
PS7-60,2021-07-24,Daily variance,0.22109939110305724
PS7-60,2021-07-25,Daily variance,0.2633318035426741
PS7-60,2021-07-26,Daily variance,0.23964624338624457
PS7-60,2021-07-27,Daily variance,0.6007623590982288
PS7-60,2021-07-28,Daily variance,0.3610945237016942
PS7-60,2021-07-29,Daily variance,0.23894383932165922
PS7-60,2021-07-30,Daily variance,0.24382169761473485
PS7-60,2021-07-31,Daily variance,
PS7-60,2021-08-17,Daily variance,0.1313169444444413
PS7-60,2021-08-18,Daily variance,0.28301843297101487
PS7-60,2021-08-19,Daily variance,0.3450324275362326
PS7-60,2021-08-20,Daily variance,0.22292674994967793
PS7-60,2021-08-21,Daily variance,0.22139371477455763
PS7-60,2021-08-22,Daily variance,0.19270295767914578
PS7-60,2021-08-23,Daily variance,0.15024560688405766
PS7-60,2021-08-24,Daily variance,0.11811263586956447
PS7-60,2021-08-25,Daily variance,0.16085199275362336
PS7-60,2021-08-26,Daily variance,0.2911836503623193
PS7-60,2021-08-27,Daily variance,0.20190869565217334
PS7-60,2021-08-28,Daily variance,0.35613626081924427
PS7-60,2021-08-29,Daily variance,0.42296441223832515
PS7-60,2021-08-30,Daily variance,0.5305107475342181
PS7-60,2021-08-31,Daily variance,0.31740652173913064
PS7-60,2021-09-01,Daily variance,0.23586485381441336
PS7-60,2021-09-02,Daily variance,0.3207515084037843
PS7-60,2021-09-03,Daily variance,0.0801125
PS8-60,2021-07-07,Daily variance,0.16646450000001534
PS8-60,2021-08-12,Daily variance,
PS8-60,2021-08-18,Daily variance,0.29584816137566294
PS8-60,2021-08-19,Daily variance,0.36173861589170736
PS8-60,2021-08-20,Daily variance,0.3648429750402566
PS8-60,2021-08-21,Daily variance,0.3311972209641702
PS8-60,2021-08-22,Daily variance,0.32942270405595775
PS8-60,2021-08-23,Daily variance,0.2428735192733486
PS8-60,2021-08-24,Daily variance,0.2486985494665849
PS8-60,2021-08-25,Daily variance,0.2901380925422718
PS8-60,2021-08-26,Daily variance,0.3376322262479869
PS8-60,2021-08-27,Daily variance,0.2771008038949274
PS8-60,2021-08-28,Daily variance,0.511511955263687
PS8-60,2021-08-29,Daily variance,0.4609414540559589
PS8-60,2021-08-30,Daily variance,0.5030355663747961
PS8-60,2021-08-31,Daily variance,0.3564654576791474
PS8-60,2021-09-01,Daily variance,0.3322040006038654
PS8-60,2021-09-02,Daily variance,0.3750393518518512
PS8-60,2021-09-03,Daily variance,0.05170794753086494
PM2-60,2021-06-23,Daily variance,2.810347804232807
PM2-60,2021-06-24,Daily variance,0.6645879981884072
PM2-60,2021-06-25,Daily variance,0.41691191123188337
PM2-60,2021-06-26,Daily variance,0.3999543025362326
PM2-60,2021-06-27,Daily variance,0.15383546195652176
PM2-60,2021-06-28,Daily variance,32.62936793478262
PM2-60,2021-06-29,Daily variance,3.1363289402173904
PM2-60,2021-06-30,Daily variance,0.15147753623188334
PM2-60,2021-07-01,Daily variance,0.11594764492753631
PM2-60,2021-07-02,Daily variance,0.1812184329710145
PM2-60,2021-07-03,Daily variance,0.06484560688405808
PM2-60,2021-07-04,Daily variance,0.044378940217391284
PM2-60,2021-07-05,Daily variance,0.10937169384057963
PM2-60,2021-07-06,Daily variance,0.057107201086956515
PM2-60,2021-07-07,Daily variance,4.197576766304343
PM2-60,2021-07-08,Daily variance,0.09668872282608691
PM2-60,2021-07-09,Daily variance,0.13893242753623217
PM2-60,2021-07-10,Daily variance,0.08130394021739129
PM2-60,2021-07-11,Daily variance,0.005667346014492733
PM2-60,2021-07-12,Daily variance,0.03453908514492769
PM2-60,2021-07-13,Daily variance,0.01325489130434786
PM2-60,2021-07-14,Daily variance,0.03165579710144935
PM2-60,2021-07-15,Daily variance,0.10025851449275353
PM2-60,2021-07-16,Daily variance,0.040881114130434555
PM2-60,2021-07-17,Daily variance,0.0173346014492754
PM2-60,2021-07-18,Daily variance,0.014784057971014446
PM2-60,2021-07-19,Daily variance,0.017458498023715515
PM2-60,2021-07-20,Daily variance,0.03150973731884064
PM2-60,2021-07-21,Daily variance,0.11162495471014522
PM2-60,2021-07-22,Daily variance,0.06586915760869569
PM2-60,2021-07-23,Daily variance,0.032409737318840476
PM2-60,2021-07-24,Daily variance,0.11514415760869526
PM2-60,2021-07-25,Daily variance,0.1285412590579713
PM2-60,2021-07-26,Daily variance,14.714576190476194
PM2-60,2021-07-27,Daily variance,0.29719492753623183
PM2-60,2021-07-28,Daily variance,0.32925923913043514
PM2-60,2021-07-29,Daily variance,0.06407169384057963
PM2-60,2021-07-30,Daily variance,0.07088365036231878
PM2-60,2021-07-31,Daily variance,0.004960824275362306
PM2-60,2021-08-01,Daily variance,0.002986775362318847
PM2-60,2021-08-02,Daily variance,0.010884737318840505
PM2-60,2021-08-03,Daily variance,0.015530027173912987
PM2-60,2021-08-04,Daily variance,0.03448869047619045
PM2-60,2021-08-05,Daily variance,1.9731966666666672
PM2-60,2021-08-06,Daily variance,0.17991636029411723
PM2-60,2021-08-07,Daily variance,0.19255040849673288
PM2-60,2021-08-08,Daily variance,0.23609420024419953
PM2-60,2021-08-09,Daily variance,0.14681166666666698
PM2-60,2021-08-10,Daily variance,0.1468529166666675
PM2-60,2021-08-11,Daily variance,9.467231066176476
PM2-60,2021-08-12,Daily variance,0.35881822916666656
PM2-60,2021-08-13,Daily variance,0.21488915441176468
PM2-60,2021-08-14,Daily variance,0.22014807692307756
PM2-60,2021-08-15,Daily variance,3.902066025641025
PM2-60,2021-08-16,Daily variance,0.312441666666667
PM2-60,2021-08-17,Daily variance,0.2067908088235298
PM2-60,2021-08-18,Daily variance,0.36693584558823544
PM2-60,2021-08-19,Daily variance,0.23350698529411787
PM2-60,2021-08-20,Daily variance,0.17132733918128562
PM2-60,2021-08-21,Daily variance,0.1711647058823538
PM2-60,2021-08-22,Daily variance,11.415917647058825
PM2-60,2021-08-23,Daily variance,0.5185445238095233
PM2-60,2021-08-24,Daily variance,2.011032720588235
PM2-60,2021-08-25,Daily variance,0.6445911764705883
PM2-60,2021-08-26,Daily variance,0.30390880952380966
PM2-60,2021-08-27,Daily variance,0.13378974358974363
PM2-60,2021-08-28,Daily variance,5.314381666666669
PM2-60,2021-08-29,Daily variance,0.552551666666667
PM2-60,2021-08-30,Daily variance,1.3971523351648345
PM2-60,2021-08-31,Daily variance,0.18005849673202548
PM2-60,2021-09-01,Daily variance,0.20454595238095227
PM2-60,2021-09-02,Daily variance,13.172843933823529
PM2-60,2021-09-03,Daily variance,0.4993583333333328
PM3-60,2021-06-23,Daily variance,1.2798489010989014
PM3-60,2021-06-24,Daily variance,0.3388710144927542
PM3-60,2021-06-25,Daily variance,0.061957125603864405
PM3-60,2021-06-26,Daily variance,0.0663682920692435
PM3-60,2021-06-27,Daily variance,0.03333896437198067
PM3-60,2021-06-28,Daily variance,0.03437402249396061
PM3-60,2021-06-29,Daily variance,0.08031642512077342
PM3-60,2021-06-30,Daily variance,0.07933387555354188
PM3-60,2021-07-01,Daily variance,0.10366370647141689
PM3-60,2021-07-02,Daily variance,0.11754468095813135
PM3-60,2021-07-03,Daily variance,0.07713244263285002
PM3-60,2021-07-04,Daily variance,0.1228457679146552
PM3-60,2021-07-05,Daily variance,0.09129552370168971
PM3-60,2021-07-06,Daily variance,0.11705243432971017
PM3-60,2021-07-07,Daily variance,0.07093869640700509
PM3-60,2021-07-08,Daily variance,0.09656613828502299
PM3-60,2021-07-09,Daily variance,0.1632320199275355
PM3-60,2021-07-10,Daily variance,0.14367867854267408
PM3-60,2021-07-11,Daily variance,0.01827216057769723
PM3-60,2021-07-12,Daily variance,0.32998777048107725
PM3-60,2021-07-13,Daily variance,0.04306147217190019
PM3-60,2021-07-14,Daily variance,0.0636191374798713
PM3-60,2021-07-15,Daily variance,0.10154196859903386
PM3-60,2021-07-16,Daily variance,0.10158484299516887
PM3-60,2021-07-17,Daily variance,0.08456266983695704
PM3-60,2021-07-18,Daily variance,0.10295744640700506
PM3-60,2021-07-19,Daily variance,0.11178763586956572
PM3-60,2021-07-20,Daily variance,0.5619177423007229
PM3-60,2021-07-21,Daily variance,0.07642125100644129
PM3-60,2021-07-22,Daily variance,0.15712433449073954
PM3-60,2021-07-23,Daily variance,0.07270036106078889
PM3-60,2021-07-24,Daily variance,0.2023991495571657
PM3-60,2021-07-25,Daily variance,0.05974029664855079
PM3-60,2021-07-26,Daily variance,0.28874981361231244
PM3-60,2021-07-27,Daily variance,0.2458792824074073
PM3-60,2021-07-28,Daily variance,0.21979756441223633
PM3-60,2021-07-29,Daily variance,0.18284682845209171
PM3-60,2021-07-30,Daily variance,0.10260431637479928
PM3-60,2021-07-31,Daily variance,0.14137705314009633
PM3-60,2021-08-01,Daily variance,0.12142475719605426
PM3-60,2021-08-02,Daily variance,0.17476159420289888
PM3-60,2021-08-03,Daily variance,0.17819890801127156
PM3-60,2021-08-04,Daily variance,0.30557451565016297
PM3-60,2021-08-05,Daily variance,0.3328358645330136
PM3-60,2021-08-06,Daily variance,0.2550469693538648
PM3-60,2021-08-07,Daily variance,0.21461966586151388
PM3-60,2021-08-08,Daily variance,0.17697834321475694
PM3-60,2021-08-09,Daily variance,0.25196947337962955
PM3-60,2021-08-10,Daily variance,0.2017262630837365
PM3-60,2021-08-11,Daily variance,0.3724714057467781
PM3-60,2021-08-12,Daily variance,0.4126626610305956
PM3-60,2021-08-13,Daily variance,0.46060331999798604
PM3-60,2021-08-14,Daily variance,0.2774665647644933
PM3-60,2021-08-15,Daily variance,0.2045508944746368
PM3-60,2021-08-16,Daily variance,0.24976817507044996
PM3-60,2021-08-17,Daily variance,0.16510410502214132
PM3-60,2021-08-18,Daily variance,0.16532149758454204
PM3-60,2021-08-19,Daily variance,0.1804795843397755
PM3-60,2021-08-20,Daily variance,0.11905665760869541
PM3-60,2021-08-21,Daily variance,0.10432587434581295
PM3-60,2021-08-22,Daily variance,0.14525969077093445
PM3-60,2021-08-23,Daily variance,0.052249535778985716
PM3-60,2021-08-24,Daily variance,0.08728703200483047
PM3-60,2021-08-25,Daily variance,0.17372391178542526
PM3-60,2021-08-26,Daily variance,0.3441842340982298
PM3-60,2021-08-27,Daily variance,0.2083831320450876
PM3-60,2021-08-28,Daily variance,0.3121316827697262
PM3-60,2021-08-29,Daily variance,0.1598064764492748
PM3-60,2021-08-30,Daily variance,0.15287845712560352
PM3-60,2021-08-31,Daily variance,0.10666678618156113
PM3-60,2021-09-01,Daily variance,0.1313763234702104
PM3-60,2021-09-02,Daily variance,0.09833683071658644
PM3-60,2021-09-03,Daily variance,0.0374188966049387
PM4-60,2021-06-23,Daily variance,0.8931033230027571
PM4-60,2021-06-24,Daily variance,0.1320938808373609
PM4-60,2021-06-25,Daily variance,0.03682278079710259
PM4-60,2021-06-26,Daily variance,0.06577241847826075
PM4-60,2021-06-27,Daily variance,0.03679492753623204
PM4-60,2021-06-28,Daily variance,0.03621222700281718
PM4-60,2021-06-29,Daily variance,0.020229557920691858
PM4-60,2021-06-30,Daily variance,0.04572445652173952
PM4-60,2021-07-01,Daily variance,0.03376734601449204
PM4-60,2021-07-02,Daily variance,0.06643111413043497
PM4-60,2021-07-03,Daily variance,0.037835824275361855
PM4-60,2021-07-04,Daily variance,0.035217391304347964
PM4-60,2021-07-05,Daily variance,0.03561807065217397
PM4-60,2021-07-06,Daily variance,0.04557386775362359
PM4-60,2021-07-07,Daily variance,0.04010973731884071
PM4-60,2021-07-08,Daily variance,0.0560358242753634
PM4-60,2021-07-09,Daily variance,0.12911880912842097
PM4-60,2021-07-10,Daily variance,0.08972036533816408
PM4-60,2021-07-11,Daily variance,0.01187716888083741
PM4-60,2021-07-12,Daily variance,0.03850853336352667
PM4-60,2021-07-13,Daily variance,0.052759239130435
PM4-60,2021-07-14,Daily variance,0.09743188405797089
PM4-60,2021-07-15,Daily variance,0.1991118421052619
PM4-60,2021-07-16,Daily variance,0.15430606060606203
PM4-60,2021-07-17,Daily variance,0.07982857142857057
PM4-60,2021-07-18,Daily variance,0.08668000000000087
PM4-60,2021-07-19,Daily variance,0.1659700000000004
PM4-60,2021-07-20,Daily variance,0.050119999999999776
